%s RF in reserve	%s RF dự trữ
%s Required for activation	Cần %s để kích hoạt
%s configuration	Cấu hình %s
&cError in the recipe	&cLỗi trong công thức
<Shift for broom info>	<Shift để xem thông tin chổi>
A little bit evil\nKiller healing	Hơi tà ác\nHồi phục chết người
A little bit evil\nSlow dive	Hơi tà ác\nRơi chậm
A little bit evil\nVisible night	Hơi tà ác\nNhìn rõ ban đêm
Active	Đang hoạt động
Active with signal	Hoạt động khi có tín hiệu
Active without signal	Hoạt động khi không có tín hiệu
Added Mining Speed	Thêm Tốc Độ Đào
Always active	Luôn hoạt động
An aesthetic accessory made of gold.	Món phụ kiện trang trí làm bằng vàng.
An aesthetic accessory made of iron.	Một món phụ kiện trang trí làm bằng sắt.
And	Và
Aqua Bubble begins	Aqua Bubble bắt đầu
Arithmetic	Số Học
Armored	Được Bọc Giáp
Author: %s	Tác giả: %s
Auto Extract	Tự động rút
Available	Khả dụng
Back	Quay lại
Balance Grid	Cân Bằng Lưới
Bane of Arthropods: +1. Max of 10.	Bane of Arthropods: +1. Tối đa 10.
Bass Drum Note	Nốt Trống Bass
Bass Guitar Note	Nốt Guitar Bass
Beheading: +1. Max of 10.	Beheading: +1. Tối đa 10.
Biome generation settings	Cài đặt tạo biome
Black	Đen
Blacklist	Danh sách chặn
Block settings	Cài đặt block
Blocks	Khối
Blue	Xanh dương
Brown	Nâu
Can also be used as a powered furnace	Cũng có thể dùng làm lò nung chạy bằng năng lượng
Can be applied to:	Có thể áp dụng cho:
Can be tuned in Soul Binder.	Có thể tinh chỉnh trong Soul Binder.
Can be used as beacon base	Có thể dùng làm đế beacon
Can be used to apply and remove upgrades	Có thể dùng để gắn và gỡ nâng cấp
Cancel	Hủy
Capability settings	Cài đặt capability
Cast	Chuyển Kiểu
Channel	Kênh
Chat Prefix Color	Màu tiền tố chat
Chat Prefix Text	Nội dung tiền tố chat
Check NBT Recursively	Kiểm Tra NBT Đệ Quy
Clear	Xóa
Clear Grid	Xoá Lưới
Click the button to change modes.	Nhấp nút để đổi chế độ.
Clicks Note	Nốt Click
Client	Máy khách
Compactor: Specialization	Compactor: Chuyên môn hóa
Compression Dynamo: Specialization	Compression Dynamo: Chuyên môn hóa
Concat	Nối
Configure IO	Cấu hình IO
Contains	Chứa
Contains:	Bao gồm:
Coolant	Chất làm mát
Core settings	Cài đặt lõi
Craftable	Có thể chế tạo
Crafting	Chế tạo
Crash on Compatibility issue	Dừng game khi có vấn đề tương thích
Crash on invalid Recipe	Dừng game khi gặp công thức không hợp lệ
Current Bonus: +%d%%	Mức thưởng hiện tại: +%d%%
Current Capacity: %d LP	Dung lượng hiện tại: %d LP
Current Tier: %d	Bậc hiện tại: %d
Cyan	Lục lam
Damaged	Đã hư hại
Default	Mặc định
Device Missing Channel	Thiết bị thiếu kênh
Durability:	Độ bền:
ERROR	LỖI
Earth	Đất
Effective speed:	Tốc độ hiệu dụng:
Eldritch Crab dies	Eldritch Crab chết
Eldritch Guardian attacks	Eldritch Guardian tấn công
Eldritch Guardian dies	Eldritch Guardian chết
Eldritch Guardian moans	Eldritch Guardian rên rỉ
Eldritch Guardian screeches	Eldritch Guardian rít lên
Empty	Trống
Enable	Bật
Enabled	Bật
Enchantment settings	Cài đặt enchantment
Energetic Infuser: Specialization	Energetic Infuser: Chuyên môn hóa
Energy	Năng lượng
Energy Conduit	Conduit Năng lượng
Energy: %s / %s RF	Năng lượng: %s / %s RF
Entities	Các Entity
Entity settings	Cài đặt entity
Errors:	Lỗi:
Exit	Thoát
Export Fluid To Entities	Xuất Chất Lỏng Sang Thực Thể
Extra damage to armored targets	Tăng sát thương lên mục tiêu có giáp
Extract	Lấy ra
FE Capacity	Sức Chứa FE
Failed to start ritual: requires %s.	Không khởi được nghi lễ: cần %s.
Fall damage negated when powered	Vô hiệu hóa sát thương khi rơi nếu được cấp năng lượng
Feed to Chickens.	Cho gà ăn.
Filter	Bộ lọc
Fire	Lửa
Fire Aspect: +1. Max of 10.	Fire Aspect: +1. Tối đa 10.
Fluid Capacity	Dung lượng Fluid
Fluid settings	Cài đặt fluid
For problems that look like nails.	Dành cho những vấn đề trông như đinh.
Force Clear Grid	Buộc Xoá Lưới
Found	Đã Tìm Thấy
Fractionating Still: Specialization	Fractionating Still: Chuyên môn hóa
Frequency	Tần số
Fuel	Nhiên liệu
GUI overlay X offset	Độ lệch X của lớp phủ GUI
GUI overlay Y offset	Độ lệch Y của lớp phủ GUI
GUI overlay position	Vị trí lớp phủ GUI
General settings	Cài đặt chung
Generates power from the sun.	Tạo năng lượng từ ánh sáng mặt trời.
Generating	Đang tạo
Generating: %s	Đang tạo: %s
Go back to previous inventory	Quay lại kho đồ trước đó
Gray	Xám
Green	Xanh lá
Grinds ore and other items	Nghiền quặng và các vật phẩm khác
Group: %s	Nhóm: %s
Has an effect when consumed	Có hiệu ứng khi sử dụng
Health	Máu
Heart beats frantically	Tim đập dồn dập
Heat	Nhiệt
Height	Chiều cao
Hold SHIFT for contents.	Giữ SHIFT để xem nội dung.
Hold §bSHIFT§7 for details	Giữ §bSHIFT§7 để xem chi tiết
Igneous Extruder: Specialization	Igneous Extruder: Chuyên môn hóa
Import All Items	Nhập Toàn Bộ Vật Phẩm
Import Fluid From Entities	Nhập Chất Lỏng Từ Thực Thể
Inactive	Không hoạt động
Increased Attack Speed	Tăng Tốc Độ Tấn Công
Increased Bleed Duration	Tăng Thời Gian Chảy Máu
Increased Dodge Chance	Tăng Tỉ Lệ Né Đòn
Increased Elemental Resistance	Tăng Kháng Nguyên Tố
Increased Life Recovery	Tăng Hồi Phục Sinh Mệnh
Increased Maximum Life	Tăng Sinh Lực Tối Đa
Increased Melee Damage	Tăng Sát Thương Cận Chiến
Increased Mining Speed	Tăng Tốc Độ Đào
Increased Movement Speed	Tăng Tốc Độ Di Chuyển
Increased Perk Effect	Tăng Hiệu Lực Perk
Increased Perk Experience	Tăng Kinh Nghiệm Perk
Increased PotionEffect Duration	Tăng Thời Lượng PotionEffect
Increased Projectile Damage	Tăng Sát Thương Đạn Bắn
Increases movement speed	Tăng tốc độ di chuyển
Increases step and jump height	Tăng độ cao bước và nhảy
Increases yield from ores.	Tăng sản lượng thu được từ quặng.
Increases your attack damage.	Tăng sát thương tấn công.
Input	Đầu vào
Insert	Đưa vào
Introduction	Giới thiệu
Inventory / Fuel	Kho Đồ / Nhiên Liệu
Is never lost on death	Không bao giờ mất khi chết
Item Frame Rotation	Góc Xoay Item Frame
Item settings	Cài đặt item
Items	Vật phẩm
Launch	Phóng
Launched	Đã phóng
Length	Độ Dài
Light Blue	Xanh dương nhạt
Light Gray	Xám nhạt
Light Level	Mức Ánh Sáng
Lime	Xanh nõn chuối
Logic Programming	Lập trình logic
Looting: +1. Max of 10.	Looting: +1. Tối đa 10.
Machine will not manufacture Plates.	Máy sẽ không chế tạo Plate.
